"","X","year","schoolcode","Candidates_2013","Passed_2013","Average_Marks_2013","Change_Average_Marks_2013","Band_2013","Rank_2013","Candidates_2014","Passed_2014","Average_Marks_2014","Change_Average_Marks_2014","Band_2014","Rank_2014","Candidates_2012","Passed_2012","Average_Marks_2012","Average_Marks_2011","Change_Average_2012","","Band_2011","Rank_2012","Rank_2011","Candidates_2011","Passed_2011","Schoolname","Identifier","Schoolproject_description","Schoolprojects_Students_Total","Schoolprojects_Boys","Schoolprojects_Girls","Schoolproject_happened","Project_2013","Project_2014","Bonanza_sum","Bonanza_2012","Bonanza_2013","Bonanza_2014","WS1","WS2","WS3","WS4","WS5","WS6","WS7","WS8","WS9","WS10","WS11","WS12","WS13","WS19","WS20","WS21","WS22","WS23","WS24","WS25","WS26","WS27","WS28","WS29","WS30","WS31","WS32","SUM.WORKSHOPS","WS.2010","WS.2011","WS.2012","WS.2013","WS.2014","WS.2015","student_sex_binary","Region","english_grade_numeric","science_grade_numeric","kiswahili_grade_numeric","maarifa_grade_numeric","hisabati_grade_numeric","average_grade_numeric"
"1",1,2013,"P0501001",72,71,149.78,36.65,5,780,51,50,150.55,0.77,5,1140,55,32,113.13,153.98,-40.85,6,5,1468,1012,46,46,"BIHARAMULO 'A'  ","BIHARAMULOBIHARAMULO'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,3,3,3,3
"2",2,2013,"P0501004",69,67,146.01,33.76,5,919,58,57,179.76,33.75,4,327,48,31,112.25,152.75,-40.5,6,5,1531,1076,48,48,"BIHARAMULO 'B'  ","BIHARAMULOBIHARAMULO'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",2,2,3,2,2,2
"3",3,2013,"P0501002",41,28,116.34,29.88,6,3661,47,32,114.66,-1.68,6,5401,52,15,86.46,108.19,-21.73,7,6,6123,7689,54,34,"BISIBO  ","BIHARAMULOBISIBO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,3,3,3,3
"4",4,2013,"P0501019",15,14,166.73,74.73,4,368,15,12,116.87,-49.86,6,4906,13,7,92,144.26,-52.26,7,5,4689,1664,19,18,"GWESERO  ","BIHARAMULOGWESERO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",2,2,2,1,2,2
"5",5,2013,"P0501093",51,50,177.59,10.3,4,226,42,42,190.33,12.74,3,148,28,27,167.29,179.14,-11.85,4,4,154,265,28,28,"ISAMBARA  ","BIHARAMULOISAMBARA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,1,1,2,1,1
"6",6,2013,"P0501027",25,21,130.12,40.86,6,1812,26,25,173.35,43.23,4,443,34,11,89.26,128.42,-39.16,7,6,5357,3573,45,35,"IYENGAMULILO 'A'  ","BIHARAMULOIYENGAMULILO'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",4,2,3,3,3,3
"7",7,2013,"P0501123",27,27,166.81,62.44,4,364,25,23,160.12,-6.69,4,742,30,15,104.37,118.76,-14.39,7,6,2361,5356,38,26,"IYENGAMULILO 'B'  ","BIHARAMULOIYENGAMULILO'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,2,1,2,3,2
"8",8,2013,"P0501028",99,87,136.51,24.08,5,1359,54,51,156.13,19.62,4,880,86,62,112.43,176.6,-64.17,6,4,1521,312,40,40,"KABINDI  ","BIHARAMULOKABINDI",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,3,2,2,2
"9",9,2013,"P0501103",24,22,158.13,39.18,4,545,20,20,174.65,16.52,4,416,20,15,118.95,158.94,-39.99,6,4,1127,780,17,17,"KABUKOME  ","BIHARAMULOKABUKOME",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",4,3,3,2,2,3
"10",10,2013,"P0501030",26,23,128.27,-34.03,6,1974,32,32,152.16,23.89,5,1064,20,19,162.3,162.83,-0.53,4,4,205,638,30,28,"KAGOMA  ","BIHARAMULOKAGOMA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,3,2,2,2,2
